issue_number,OriginationPhase,DetectionPhase,Category,Priority,Status,created_at,closed_at,Author
3377,Testing,Field,Bug,Medium,Completed,3/9/2020,3/10/2020,"Kozey, Loyal"
3378,Documentation,Field,Inquiry,Major,pendingReview,3/10/2020,,"Bechtelar, Abraham"
3379,Design,Testing,Enhancement,High,Approved,4/11/2020,4/12/2020,"Kemmer, Brian"
3380,Requirements,Design,Inquiry,Low,Rejected,4/12/2020,4/13/2020,"Wolff, Jarret"
3381,Testing,Field,Bug,Medium,Completed,4/13/2020,4/14/2020,"Kemmer, Brian"
3382,Documentation,Field,Enhancement,Major,pendingReview,3/14/2020,,"Thiel, Nayeli"
3383,Design,Testing,Inquiry,Critical,Approved,3/15/2020,,"Schaefer, Maverick"
3384,Requirements,Coding,Bug,High,inProgress,7/16/2020,8/24/2020,"Barton, Maybelle"
3385,Requirements,Design,Inquiry,Low,Rejected,7/17/2020,8/25/2020,"McGlynn, Silas"
3386,Testing,Field,Bug,Medium,Rejected,7/18/2020,8/26/2020,"Barton, Maybelle"
3387,Documentation,Field,Enhancement,Major,Rejected,7/19/2020,8/27/2020,"Swaniawski, Lucienne"
3388,Design,Coding,Inquiry,High,Rejected,7/20/2020,8/28/2020,"Funk, Modesta"
3389,Requirements,Testing,Bug,High,Completed,7/21/2020,8/29/2020,"Abbott, Theresia"
3390,Documentation,Field,Inquiry,Major,pendingReview,5/10/2020,,"Herman, Jermain"
3391,Design,Testing,Enhancement,High,Approved,5/11/2020,,"Hackett, Favian"
3392,Requirements,Design,Inquiry,Low,Rejected,5/12/2020,5/13/2020,"Wisozk, Harrison"
3393,Testing,Field,Bug,Medium,Completed,5/13/2020,5/14/2020,"Schaefer, Maverick"
3394,Documentation,Field,Enhancement,Major,pendingReview,5/20/2020,,"Nitzsche, Willa"
3395,Design,Testing,Inquiry,Critical,Approved,5/21/2020,,"Keeling, Reuben"
3396,Requirements,Coding,Bug,High,inProgress,5/22/2020,,"Witting, Deborah"
3397,Requirements,Design,Inquiry,Low,Rejected,5/17/2020,5/25/2020,"Johnston, Lolita"
3398,Testing,Field,Bug,Medium,Completed,5/18/2020,5/26/2020,"McGlynn, Jaylon"
3399,Documentation,Field,Enhancement,Major,pendingReview,5/19/2020,,"Upton, Maude"
3400,Design,Coding,Inquiry,High,inProgress,5/20/2020,,"Heathcote, Jacklyn"
3401,Requirements,Testing,Bug,High,Completed,5/21/2020,5/25/2020,"Langworth, Tillman"
3402,Testing,Field,Bug,Medium,Completed,5/22/2020,5/26/2020,"Gerlach, Martin"
3403,Documentation,Field,Enhancement,Major,pendingReview,5/27/2020,,"Tillman, Modesto"
3404,Design,Coding,Inquiry,High,inProgress,5/28/2020,,"Kemmer, Brian"
3405,Coding,Testing,Bug,Low,Completed,5/25/2020,6/3/2020,"Huels, Peggie"
3406,Design,Coding,Inquiry,High,inProgress,5/26/2020,,"Pfeffer, Edna"
3407,Coding,Testing,Bug,Low,Completed,5/27/2020,6/5/2020,"Lueilwitz, Andreanne"
3408,Testing,Field,Enhancement,Medium,Completed,5/28/2020,6/6/2020,"Langworth, Tillman"
3409,Design,Testing,Inquiry,Critical,Approved,3/6/2020,,"Kozey, Loyal"
3410,Requirements,Coding,Bug,Critical,inProgress,3/7/2020,,"Reinger, Gerda"
3411,Requirements,Design,Inquiry,Low,Rejected,3/8/2020,3/19/2020,"Oberbrunner, Gretchen"
3412,Testing,Field,Bug,Medium,Completed,3/9/2020,3/10/2020,"Lemke, Creola"
3413,Requirements,Coding,Bug,High,Approved,5/7/2020,,"Barton, Maybelle"
3414,Requirements,Design,Inquiry,Low,Approved,5/8/2020,,"Leuschke, Anabelle"
3415,Testing,Field,Bug,Medium,Approved,5/9/2020,,"Kreiger, Alexandre"
3416,Documentation,Field,Enhancement,Major,Approved,5/10/2020,,"Bradtke, Neil"
3417,Design,Coding,Inquiry,Low,Approved,5/11/2020,,"Abbott, Theresia"
3418,Testing,Field,Bug,Medium,Approved,5/12/2020,,"Murray, Clement"
3419,Documentation,Field,Enhancement,Major,pendingReview,5/13/2020,,"Kreiger, Alexandre"
3420,Design,Coding,Inquiry,High,inProgress,5/14/2020,,"Eichmann, Luigi"
3421,Coding,Testing,Bug,Low,Completed,1/15/2020,2/18/2020,"Dare, Alisha"
3422,Design,Coding,Inquiry,High,inProgress,1/16/2020,,"Herman, Jermain"
3423,Coding,Testing,Bug,Low,Completed,5/17/2020,5/20/2020,"Christiansen, Cynthia"
3424,Testing,Field,Enhancement,Medium,Completed,5/18/2020,5/21/2020,"Schmidt, Nicola"
3425,Design,Testing,Inquiry,Critical,Approved,5/19/2020,,"Langworth, Dovie"
3426,Testing,Field,Bug,Medium,Completed,5/20/2020,6/23/2020,"Kreiger, Alexandre"
3427,Documentation,Field,Enhancement,Major,pendingReview,5/21/2020,,"Keeling, Reuben"
3428,Design,Coding,Inquiry,High,inProgress,1/22/2020,,"Koss, Adrain"
3429,Coding,Testing,Bug,Low,Completed,3/2/2020,3/26/2020,"Heathcote, Jacklyn"
3430,Design,Coding,Inquiry,High,inProgress,3/3/2020,,"Langworth, Dovie"
3431,Testing,Field,Bug,Medium,Completed,2/27/2020,3/18/2020,"Leuschke, Anabelle"
3432,Documentation,Field,Enhancement,Major,pendingReview,2/28/2020,,"Pfeffer, Edna"
3433,Design,Coding,Inquiry,High,inProgress,3/1/2020,,"Flatley, Kailee"
3434,Coding,Testing,Bug,Low,Completed,3/2/2020,3/3/2020,"Abbott, Theresia"
3435,Design,Coding,Inquiry,High,inProgress,3/3/2020,,"Murazik, Adella"
3436,Coding,Testing,Bug,Low,Completed,3/4/2020,3/15/2020,"Willms, Felicia"
3437,Testing,Field,Enhancement,Medium,Completed,3/5/2020,3/16/2020,"Hartmann, Stefan"
3438,Design,Testing,Inquiry,Critical,Approved,3/6/2020,,"Hilll, Scottie"
3439,Requirements,Coding,Bug,High,inProgress,3/7/2020,,"Gerlach, Martin"
3440,Requirements,Design,Inquiry,Low,Rejected,3/8/2020,3/19/2020,"Kihn, Amya"
3441,Testing,Field,Bug,Medium,Completed,3/9/2020,3/10/2020,"Schaefer, Maverick"
3442,Documentation,Field,Inquiry,Major,pendingReview,3/10/2020,,"Langworth, Dovie"
3443,Design,Testing,Enhancement,High,Approved,4/11/2020,4/12/2020,"Ruecker, Clementina"
3444,Requirements,Design,Inquiry,Low,Rejected,4/12/2020,4/13/2020,"Funk, Fredrick"
3445,Testing,Field,Bug,Medium,Completed,4/13/2020,4/14/2020,"Schumm, Hester"
3446,Documentation,Field,Enhancement,Major,pendingReview,3/14/2020,,"Reinger, Gerda"
3447,Design,Testing,Inquiry,Critical,Approved,3/15/2020,,"Willms, Felicia"
3448,Requirements,Coding,Bug,High,inProgress,7/16/2020,8/24/2020,"Abbott, Theresia"
3449,Requirements,Design,Inquiry,Low,Rejected,7/17/2020,8/25/2020,"Hartmann, Stefan"
3450,Testing,Field,Bug,Medium,Rejected,7/18/2020,8/26/2020,"Funk, Fredrick"
3451,Documentation,Field,Enhancement,Major,Rejected,7/19/2020,8/27/2020,"Bradtke, Neil"
3452,Design,Coding,Inquiry,High,Rejected,7/20/2020,8/28/2020,"Murray, Clement"
3453,Requirements,Testing,Bug,High,Completed,7/21/2020,8/29/2020,"Murazik, Adella"
3454,Design,Coding,Inquiry,High,inProgress,3/3/2020,,"McGlynn, Silas"
3455,Coding,Testing,Bug,Low,Completed,3/4/2020,3/28/2020,"Sporer, Sharon"
3456,Testing,Field,Enhancement,Medium,Completed,3/5/2020,3/29/2020,"McGlynn, Bettye"
3457,Design,Testing,Inquiry,Critical,Approved,3/6/2020,,"Leuschke, Anabelle"
3458,Coding,Testing,Bug,Low,Completed,3/4/2020,3/15/2020,"Lemke, Creola"
3459,Testing,Field,Enhancement,Medium,Completed,3/5/2020,3/16/2020,"Pollich, Donna"
3460,Design,Testing,Inquiry,Critical,Approved,3/6/2020,,"Hamill, Lourdes"
3461,Requirements,Coding,Bug,High,inProgress,3/7/2020,,"Willms, Felicia"
3462,Requirements,Design,Inquiry,Low,Rejected,3/8/2020,3/19/2020,"Grady, Houston"
3463,Testing,Field,Bug,Medium,Completed,3/9/2020,3/10/2020,"Kerluke, Deondre"
3464,Documentation,Field,Inquiry,Major,pendingReview,3/10/2020,,"Conroy, Kip"
3465,Design,Testing,Enhancement,High,Approved,3/11/2020,,"Tillman, Manuel"
3466,Requirements,Design,Inquiry,Low,Rejected,3/12/2020,3/13/2020,"Simonis, Jerad"
3467,Testing,Field,Bug,Medium,Completed,3/13/2020,3/14/2020,"Huels, Dion"
3468,Documentation,Field,Enhancement,Major,pendingReview,5/14/2020,,"Bauch, Ola"
3469,Design,Testing,Inquiry,Critical,Approved,5/15/2020,,"Kuvalis, Aryanna"
3470,Requirements,Coding,Bug,High,inProgress,5/16/2020,,"Beahan, Jimmie"
3471,Requirements,Design,Inquiry,Low,Rejected,3/17/2020,3/25/2020,"Bashirian, Burley"
3472,Testing,Field,Bug,Medium,Completed,3/18/2020,3/26/2020,"Christiansen, Marjolaine"
3473,Documentation,Field,Bug,Major,pendingReview,3/19/2020,,"Block, Daniela"
3474,Design,Coding,Bug,High,inProgress,3/20/2020,,"Bahringer, Ewald"
3475,Requirements,Testing,Bug,High,Completed,3/17/2020,3/25/2020,"Zemlak, Kiana"
3476,Testing,Field,Bug,Medium,Completed,2/27/2020,3/18/2020,"VonRueden, Veronica"
3477,Documentation,Field,Bug,Major,pendingReview,2/28/2020,,"Thompson, Courtney"
3478,Design,Coding,Bug,High,inProgress,3/1/2020,,"Bayer, Charlotte"
3479,Coding,Testing,Bug,Low,Completed,3/2/2020,3/3/2020,"Kilback, Peggie"
3480,Design,Coding,Bug,High,inProgress,3/3/2020,,"Sauer, Ethan"
3481,Coding,Testing,Bug,Low,Completed,3/4/2020,3/15/2020,"Daniel, Reese"
3482,Testing,Field,Bug,Medium,Completed,3/5/2020,3/16/2020,"Hudson, Kurt"
3483,Design,Testing,Bug,Critical,Approved,3/6/2020,,"Hahn, Seth"
3484,Requirements,Coding,Bug,Critical,inProgress,3/7/2020,,"Ebert, Zachary"
3485,Requirements,Design,Inquiry,Low,Rejected,3/8/2020,3/19/2020,"Bahringer, Ewald"
3486,Testing,Field,Bug,Medium,Completed,3/9/2020,3/10/2020,"Wisozk, Eliezer"
3487,Documentation,Field,Inquiry,Major,pendingReview,3/10/2020,,"Simonis, Jerad"
3488,Design,Testing,Enhancement,High,Approved,3/11/2020,,"Thompson, Courtney"
3489,Requirements,Design,Inquiry,Low,Rejected,4/12/2020,5/13/2020,"Ebert, Zachary"
3490,Testing,Field,Bug,Medium,Completed,4/13/2020,5/14/2020,"Casper, Lilian"
3491,Documentation,Field,Enhancement,Major,pendingReview,5/5/2020,,"Schneider, Sammy"
3492,Design,Testing,Bug,Critical,Approved,5/6/2020,,"Witting, Tabitha"
3493,Requirements,Coding,Bug,High,Approved,5/7/2020,,"Davis, Tommie"
3494,Requirements,Design,Inquiry,Low,Approved,5/8/2020,,"Welch, Norval"
3495,Testing,Field,Bug,Medium,Approved,5/9/2020,,"Grady, Houston"
3496,Documentation,Field,Enhancement,Major,Approved,5/10/2020,,"Parisian, Vergie"
3497,Design,Coding,Inquiry,Low,Approved,5/11/2020,,"Altenwerth, Rudy"
3498,Testing,Field,Bug,Medium,Approved,5/12/2020,,"Reichel, Coty"
3499,Documentation,Field,Enhancement,Major,pendingReview,5/13/2020,,"Tillman, Jevon"
3500,Design,Testing,Inquiry,Critical,Approved,5/15/2020,,"Rogan, Jonathan"
3501,Requirements,Coding,Bug,High,inProgress,5/16/2020,,"Rogan, Jonathan"
3502,Requirements,Design,Inquiry,Low,Rejected,3/17/2020,3/25/2020,"Rogan, Jonathan"
3503,Testing,Field,Bug,Medium,Completed,3/18/2020,3/26/2020,"Rogan, Jonathan"
3504,Documentation,Field,Bug,Major,pendingReview,3/19/2020,,"Rogan, Jonathan"
3505,Design,Coding,Bug,High,inProgress,3/20/2020,,"Rogan, Jonathan"
3506,Requirements,Testing,Bug,High,Completed,3/17/2020,3/25/2020,"Rogan, Jonathan"
3507,Testing,Field,Bug,Medium,Completed,2/27/2020,3/18/2020,"Rogan, Jonathan"
3508,Documentation,Field,Bug,Major,pendingReview,2/28/2020,,"Rogan, Jonathan"
3509,Design,Coding,Bug,High,inProgress,3/1/2020,,"Rogan, Jonathan"
3510,Coding,Testing,Bug,Low,Completed,3/2/2020,3/3/2020,"Rogan, Jonathan"
3511,Design,Coding,Bug,High,inProgress,3/3/2020,,"Rogan, Jonathan"
3512,Coding,Testing,Bug,Low,Completed,3/4/2020,3/15/2020,"Rogan, Jonathan"
3513,Testing,Field,Bug,Medium,Completed,3/5/2020,3/16/2020,"Rogan, Jonathan"
3514,Design,Testing,Bug,Critical,Approved,3/6/2020,,"Rogan, Jonathan"
3515,Requirements,Coding,Bug,Critical,inProgress,3/7/2020,,"Rogan, Jonathan"
3516,Requirements,Design,Inquiry,Low,Rejected,3/8/2020,3/19/2020,"Rogan, Jonathan"
3517,Testing,Field,Bug,Medium,Completed,3/9/2020,3/10/2020,"Rogan, Jonathan"
3518,Documentation,Field,Inquiry,Major,pendingReview,3/10/2020,,"Rogan, Jonathan"
3519,Design,Testing,Enhancement,High,Approved,3/11/2020,,"Rogan, Jonathan"
3520,Requirements,Design,Inquiry,Low,Rejected,4/12/2020,5/13/2020,"Rogan, Jonathan"
3521,Testing,Field,Bug,Medium,Completed,4/13/2020,5/14/2020,"Rogan, Jonathan"
3522,Documentation,Field,Enhancement,Major,pendingReview,5/5/2020,,"Rogan, Jonathan"
3523,Design,Testing,Bug,Critical,Approved,5/6/2020,,"Rogan, Jonathan"
3524,Requirements,Coding,Bug,High,Approved,5/7/2020,,"Rogan, Jonathan"
3525,Requirements,Design,Inquiry,Low,Approved,5/8/2020,,"Rogan, Jonathan"
3526,Testing,Field,Bug,Medium,Approved,5/9/2020,,"Rogan, Jonathan"
3527,Documentation,Field,Enhancement,Major,Approved,5/10/2020,,"Rogan, Jonathan"
3528,Design,Coding,Inquiry,Low,Approved,5/11/2020,,"Altenwerth, Rudy"
3529,Testing,Field,Bug,Medium,Approved,5/12/2020,,"Reichel, Coty"
3530,Documentation,Field,Enhancement,Major,pendingReview,5/13/2020,,"Tillman, Jevon"
3531,Design,Coding,Inquiry,High,inProgress,5/14/2020,,"Nitzsche, Samara"
3532,Coding,Testing,Bug,Low,Completed,1/15/2020,2/18/2020,"Haag, Isom"
3533,Design,Coding,Inquiry,High,inProgress,1/16/2020,,"Murray, Maximillia"
3534,Coding,Testing,Bug,Low,Completed,5/17/2020,5/20/2020,"Rice, Gregorio"
3535,Testing,Field,Enhancement,Medium,Completed,5/18/2020,5/21/2020,"Oberbrunner, Diamond"
3536,Design,Testing,Inquiry,Critical,Approved,5/19/2020,,"Thompson, Courtney"
3537,Testing,Field,Bug,Medium,Completed,5/20/2020,6/23/2020,"Christiansen, Marjolaine"
3538,Documentation,Field,Enhancement,Major,pendingReview,5/21/2020,,"Sauer, Ethan"
3539,Design,Coding,Inquiry,High,inProgress,1/22/2020,,"Bashirian, Burley"
3540,Coding,Testing,Bug,Low,Completed,3/2/2020,3/26/2020,"Crona, Marta"
3541,Design,Coding,Inquiry,High,inProgress,3/3/2020,,"Bahringer, Ewald"
3542,Testing,Field,Bug,Medium,Completed,2/27/2020,3/18/2020,"Osinski, Patrick"
3543,Documentation,Field,Enhancement,Major,pendingReview,2/28/2020,,"Yost, Mollie"
3544,Design,Coding,Inquiry,High,inProgress,3/1/2020,,"Reichel, Coty"
3545,Coding,Testing,Bug,Low,Completed,3/2/2020,3/3/2020,"Bogan, Carlie"
3546,Design,Coding,Inquiry,High,inProgress,3/3/2020,,"Tillman, Jevon"
3547,Coding,Testing,Bug,Low,Completed,3/4/2020,3/15/2020,"Daniel, Reese"
3548,Testing,Field,Enhancement,Medium,Completed,3/5/2020,3/16/2020,"Bauch, Ola"
3549,Design,Testing,Inquiry,Critical,Approved,3/6/2020,,"Bernhard, Alden"
3550,Requirements,Coding,Bug,High,inProgress,3/7/2020,,"Dicki, Genesis"
3551,Requirements,Design,Inquiry,Low,Rejected,3/8/2020,3/19/2020,"Bauch, Ola"
3552,Testing,Field,Bug,Medium,Completed,3/9/2020,3/10/2020,"Barrows, Judson"
3553,Documentation,Field,Inquiry,Major,pendingReview,3/10/2020,,"King, Jake"
3554,Design,Testing,Enhancement,High,Approved,4/11/2020,4/12/2020,"Frami, Jenifer"
3555,Requirements,Design,Inquiry,Low,Rejected,4/12/2020,4/13/2020,"Tillman, Jevon"
3556,Testing,Field,Bug,Medium,Completed,4/13/2020,4/14/2020,"Yost, Mollie"
3557,Documentation,Field,Enhancement,Major,pendingReview,3/14/2020,,"Russel, Lenny"
3558,Design,Testing,Inquiry,Critical,Approved,3/15/2020,,"O'Connell, Eloise"
3559,Requirements,Coding,Bug,High,inProgress,7/16/2020,8/24/2020,"Schneider, Sammy"
3560,Requirements,Design,Inquiry,Low,Rejected,7/17/2020,8/25/2020,"Howe, Cathy"
3561,Testing,Field,Bug,Medium,Rejected,7/18/2020,8/26/2020,"Altenwerth, Rudy"
3562,Documentation,Field,Enhancement,Major,Rejected,7/19/2020,8/27/2020,"Wuckert, Alta"
3563,Design,Coding,Inquiry,High,Rejected,7/20/2020,8/28/2020,"Koepp, Randal"
3564,Requirements,Testing,Bug,High,Completed,7/21/2020,8/29/2020,"McDermott, Shania"
3565,Documentation,Field,Inquiry,Major,pendingReview,5/10/2020,,"Huels, Dion"
3566,Design,Testing,Enhancement,High,Approved,5/11/2020,,"Dicki, Genesis"
3567,Requirements,Design,Inquiry,Low,Rejected,5/12/2020,5/13/2020,"Kuhlman, Nayeli"
3568,Testing,Field,Bug,Medium,Completed,5/13/2020,5/14/2020,"Mohr, Lenna"
3569,Documentation,Field,Enhancement,Major,pendingReview,5/20/2020,,"Parisian, Vergie"
3570,Design,Testing,Inquiry,Critical,Approved,5/21/2020,,"Bradtke, Mercedes"
3571,Requirements,Coding,Bug,High,inProgress,5/22/2020,,"Nitzsche, Samara"
3572,Requirements,Design,Inquiry,Low,Rejected,5/17/2020,5/25/2020,"Altenwerth, Rudy"
3573,Testing,Field,Bug,Medium,Completed,5/18/2020,5/26/2020,"Bradtke, Mercedes"
3574,Documentation,Field,Enhancement,Major,pendingReview,5/19/2020,,"Altenwerth, Rudy"
3575,Design,Coding,Inquiry,High,inProgress,5/20/2020,,"Bauch, Ola"
3576,Requirements,Testing,Bug,High,Completed,5/21/2020,5/25/2020,"Huels, Vergie"
3577,Testing,Field,Bug,Medium,Completed,5/22/2020,5/26/2020,"Ebert, Zachary"
3578,Documentation,Field,Enhancement,Major,pendingReview,5/27/2020,,"Rodriguez, Dorcas"
3579,Design,Coding,Inquiry,High,inProgress,5/28/2020,,"Hahn, Malika"
3580,Coding,Testing,Bug,Low,Completed,5/25/2020,6/3/2020,"Schneider, Sammy"
3581,Design,Coding,Inquiry,High,inProgress,5/26/2020,,"Ebert, Zachary"
3582,Coding,Testing,Bug,Low,Completed,5/27/2020,6/5/2020,"Lowe, Neal"
3583,Testing,Field,Enhancement,Medium,Completed,5/28/2020,6/6/2020,"Armstrong, Kellen"
3584,Design,Testing,Inquiry,Critical,Approved,3/6/2020,,"Friesen, Manuel"
3585,Requirements,Coding,Bug,Critical,inProgress,3/7/2020,,"Oberbrunner, Diamond"
3586,Requirements,Design,Inquiry,Low,Rejected,3/8/2020,3/19/2020,"Russel, Lenny"
3587,Testing,Field,Bug,Medium,Completed,3/9/2020,3/10/2020,"Bradtke, Mercedes"
3588,Documentation,Field,Enhancement,Major,pendingReview,4/5/2020,,"Beahan, Jimmie"
3589,Design,Testing,Bug,Critical,Completed,4/6/2020,6/8/2020,"Armstrong, Kellen"
3590,Requirements,Coding,Bug,High,Completed,4/7/2020,6/9/2020,"Block, Daniela"
3591,Requirements,Design,Inquiry,Low,Completed,4/8/2020,,"Kerluke, Deondre"
3592,Testing,Field,Bug,Medium,Completed,4/9/2020,6/11/2020,"Wisozk, Eliezer"
3593,Documentation,Field,Enhancement,Major,Completed,4/10/2020,6/12/2020,"Bernhard, Remington"
3594,Design,Coding,Inquiry,Low,Completed,4/11/2020,,"Hegmann, Jana"
3595,Testing,Field,Bug,Medium,Completed,4/12/2020,6/14/2020,"Miller, Ada"
3596,Documentation,Field,Enhancement,Major,pendingReview,4/13/2020,,"Beahan, Bryce"
3597,Design,Coding,Inquiry,High,inProgress,4/14/2020,,"Reilly, Mallory"
3598,Documentation,Field,Enhancement,Major,pendingReview,6/5/2020,,"Reilly, Darrin"
3599,Design,Testing,Bug,Critical,Approved,6/6/2020,,"Schiller, Alysa"
3600,Requirements,Coding,Bug,High,pendingReview,6/7/2020,,"Trantow, Timmothy"
3601,Requirements,Design,Inquiry,Low,pendingReview,6/8/2020,,"Strosin, Amya"
3602,Testing,Field,Bug,Medium,pendingReview,6/9/2020,,"Reilly, Mallory"
3603,Documentation,Field,Enhancement,Major,Completed,6/10/2020,8/3/2020,"Donnelly, Hulda"
3604,Design,Coding,Inquiry,Low,Completed,6/11/2020,8/4/2020,"Considine, Glenna"
3605,Testing,Field,Bug,Medium,Completed,6/12/2020,,"Beier, Benny"
3606,Documentation,Field,Enhancement,Major,Completed,6/13/2020,,"Barrows, Chet"
3607,Documentation,Field,Enhancement,Major,Completed,4/10/2020,8/7/2020,"Lind, Noble"
3608,Design,Coding,Inquiry,Low,Completed,4/11/2020,,"Torp, Annie"
3609,Testing,Field,Bug,Medium,Completed,4/12/2020,8/9/2020,"Torp, Annie"
3610,Documentation,Field,Enhancement,Major,Completed,4/13/2020,8/10/2020,"Hoeger, Garry"
3611,Design,Coding,Inquiry,High,inProgress,4/14/2020,,"Osinski, Colt"
3612,Documentation,Field,Enhancement,Major,pendingReview,6/5/2020,,"Trantow, Elza"
3613,Design,Testing,Bug,Critical,Approved,6/6/2020,,"Nader, Keaton"
3614,Requirements,Coding,Bug,High,pendingReview,6/7/2020,,"Cruickshank, Baron"
3615,Requirements,Design,Inquiry,Low,pendingReview,6/8/2020,,"Spinka, Percy"
3616,Testing,Field,Bug,Medium,pendingReview,6/9/2020,,"Bernhard, Remington"
3617,Documentation,Field,Enhancement,Major,pendingReview,6/10/2020,,"Mann, Kellen"
3618,Design,Coding,Inquiry,Low,Approved,6/11/2020,,"Torp, Annie"
3619,Testing,Field,Bug,Medium,Approved,6/12/2020,,"Schmitt, Davin"
3620,Documentation,Field,Enhancement,Major,pendingReview,6/13/2020,,"Williams, Amy"
3621,Testing,Field,Bug,Medium,Completed,4/13/2020,4/14/2020,"Williams, Amy"
3622,Documentation,Field,Enhancement,Major,pendingReview,4/14/2020,,"Williams, Amy"
3623,Design,Testing,Inquiry,Critical,Approved,4/15/2020,,"Williams, Amy"
3624,Requirements,Coding,Bug,High,inProgress,4/16/2020,7/24/2020,"Williams, Amy"
3625,Requirements,Design,Inquiry,Low,Rejected,4/17/2020,,"Williams, Amy"
3626,Testing,Field,Bug,Medium,Rejected,4/18/2020,7/26/2020,"Williams, Amy"
3627,Documentation,Field,Enhancement,Major,Rejected,4/19/2020,,"Durgan, Monique"
3628,Design,Coding,Inquiry,High,Rejected,4/20/2020,,"Osinski, Colt"
3629,Requirements,Testing,Bug,High,Completed,4/21/2020,7/29/2020,"Walter, Malcolm"
3630,Testing,Field,Bug,Medium,Completed,4/22/2020,7/30/2020,"Koch, Robert"
3631,Testing,Field,Bug,Medium,Approved,4/9/2020,,"Schinner, Adam"
3632,Documentation,Field,Enhancement,Major,Approved,4/10/2020,,"Harber, Lelia"
3633,Design,Coding,Inquiry,Low,Approved,4/11/2020,,"McKenzie, Elbert"
3634,Testing,Field,Bug,Medium,Approved,4/12/2020,,"Hane, Cierra"
3635,Documentation,Field,Enhancement,Major,pendingReview,4/13/2020,,"Baumbach, Katrine"
3636,Design,Coding,Inquiry,High,inProgress,4/14/2020,,"Pacocha, Peggie"
3637,Documentation,Field,Enhancement,Major,pendingReview,6/5/2020,,"Durgan, Monique"
3638,Design,Testing,Bug,Critical,Approved,6/6/2020,,"Lind, Noble"
3639,Requirements,Coding,Bug,High,Completed,6/7/2020,7/12/2020,"Bailey, Chadd"
3640,Requirements,Design,Inquiry,Low,Completed,6/8/2020,,"Fritsch, Sim"
3641,Testing,Field,Bug,Medium,Completed,6/9/2020,7/14/2020,"Bailey, Chadd"
3642,Documentation,Field,Enhancement,Major,Completed,6/10/2020,,"Rau, Shemar"
3643,Design,Coding,Inquiry,Low,Completed,6/11/2020,,"Bailey, Chadd"
3644,Testing,Field,Bug,Medium,Completed,6/12/2020,7/17/2020,"Aufderhar, Kiana"
3645,Documentation,Field,Enhancement,Major,Completed,6/13/2020,7/18/2020,"Schinner, Adam"
3646,Documentation,Field,Enhancement,Major,Completed,4/10/2020,7/19/2020,"Zieme, Amara"
3647,Design,Coding,Inquiry,Low,Completed,4/11/2020,,"Schumm, Sam"
3648,Testing,Field,Bug,Medium,Completed,4/12/2020,7/21/2020,"Miller, Ada"
3649,Documentation,Field,Enhancement,Major,pendingReview,4/13/2020,,"Bernhard, Remington"
3650,Design,Coding,Inquiry,High,inProgress,4/14/2020,,"Schumm, Sam"
3651,Documentation,Field,Enhancement,Major,pendingReview,6/5/2020,,"Schiller, Cletus"
3652,Design,Testing,Bug,Critical,Approved,6/6/2020,,"Strosin, Amya"
3653,Requirements,Coding,Bug,High,pendingReview,6/7/2020,,"Legros, Jason"
3654,Requirements,Design,Inquiry,Low,pendingReview,6/8/2020,,"Bernier, Luz"
3655,Testing,Field,Bug,Medium,pendingReview,6/9/2020,,"Bernier, Luz"
3656,Documentation,Field,Enhancement,Major,pendingReview,6/10/2020,,"Collier, Clair"
3657,Design,Coding,Inquiry,Low,Approved,6/11/2020,,"Hegmann, Jana"
3658,Testing,Field,Bug,Medium,Approved,6/12/2020,,"Hane, Cierra"
3659,Documentation,Field,Enhancement,Major,pendingReview,6/13/2020,,"Wyman, Jarrod"
3660,Testing,Field,Bug,Medium,Completed,4/13/2020,4/14/2020,"Bednar, Jakayla"
3661,Documentation,Field,Enhancement,Major,pendingReview,4/14/2020,,"Wolf, Dewayne"
3662,Design,Coding,Inquiry,Low,Completed,4/11/2020,,"Barrows, Chet"
3663,Testing,Field,Bug,Medium,Completed,4/12/2020,6/14/2020,"Mohr, Clinton"
3664,Documentation,Field,Enhancement,Major,pendingReview,4/13/2020,,"Collier, Clair"
3665,Design,Coding,Inquiry,High,inProgress,4/14/2020,,"Hane, Cierra"
3666,Documentation,Field,Enhancement,Major,pendingReview,6/5/2020,,"Goodwin, Leo"
3667,Design,Testing,Bug,Critical,Approved,6/6/2020,,"Gleason, Earl"
3668,Requirements,Coding,Bug,High,pendingReview,6/7/2020,,"Wolf, Dewayne"
3669,Requirements,Design,Inquiry,Low,pendingReview,6/8/2020,,"Gleichner, Kaylin"
3670,Testing,Field,Bug,Medium,pendingReview,6/9/2020,,"Cruickshank, Baron"
3671,Documentation,Field,Enhancement,Major,Completed,6/10/2020,8/3/2020,"West, Maci"
3672,Design,Coding,Inquiry,Low,Completed,6/11/2020,8/4/2020,"Halvorson, Walter"
3673,Testing,Field,Bug,Medium,Completed,6/12/2020,,"McKenzie, Elbert"
3674,Documentation,Field,Enhancement,Major,Completed,6/13/2020,,"Prohaska, Madalyn"
3675,Documentation,Field,Enhancement,Major,Completed,4/10/2020,8/7/2020,"Hoeger, Garry"
3676,Design,Coding,Inquiry,Low,Completed,4/11/2020,,"Spinka, Percy"
3677,Testing,Field,Bug,Medium,Completed,4/12/2020,8/9/2020,"Trantow, Elza"
3678,Documentation,Field,Enhancement,Major,Completed,4/13/2020,8/10/2020,"Beahan, Bryce"
